spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
celo,chain,eth_newPendingTransactionFilter,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_newPendingTransactionFilter on CELO_MAINNET""}}"
stable,chain,eth_simulateV1,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_simulateV1 on STABLE_MAINNET""}}"
celo,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
stable,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
scroll,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_protocolVersion does not exist/is not available
scroll,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,nonce too low
scroll,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_simulateV1 does not exist/is not available
berachain,chain,eth_protocolVersion,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_protocolVersion on BERACHAIN_MAINNET""}}"
berachain,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 25, tx nonce 1"
pharos,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,METHOD_NOT_FOUND
worldchain,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 2, tx nonce 1"
apechain,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
sei,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,the method web3_sha3 does not exist/is not available
citrea,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 2000000000021000000
citrea,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
plasma,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 3, tx nonce 1"
plasma,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
arb,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 20006000"
